date,hour,demand,temp,is_holiday
2023-01-06 13:00:00,13,153,27.507470605442162,0
2023-01-06 14:00:00,14,134,27.753609898249245,0
2023-01-06 15:00:00,15,151,33.75056735824499,0
2023-01-06 16:00:00,16,117,29.720939841185547,0
2023-01-06 17:00:00,17,110,27.680052215225764,0
2023-01-06 18:00:00,18,108,22.88497065941314,0
2023-01-06 19:00:00,19,75,23.834875052374866,0
2023-01-06 20:00:00,20,78,19.766857307093343,1
2023-01-06 21:00:00,21,78,17.84014743123829,0
2023-01-06 22:00:00,22,41,13.046759368272891,1
2023-01-06 23:00:00,23,54,13.24946990296968,0
2023-01-07 00:00:00,0,53,10.492078885742647,0
2023-01-07 01:00:00,1,60,8.809519423048942,0
2023-01-07 02:00:00,2,45,11.468212671614497,0
2023-01-07 03:00:00,3,52,7.265326120049313,0
2023-01-07 04:00:00,4,81,12.469298490783915,0
2023-01-07 05:00:00,5,90,14.297904455240516,0
2023-01-07 06:00:00,6,103,13.240712648897519,0
2023-01-07 07:00:00,7,117,15.77115262670986,0
2023-01-07 08:00:00,8,119,19.553948637467194,0
2023-01-07 09:00:00,9,138,23.152262871949645,0
2023-01-07 10:00:00,10,147,24.69429001637155,0
2023-01-07 11:00:00,11,142,27.938192732249234,0
2023-01-07 12:00:00,12,169,32.18621334291918,0
2023-01-07 13:00:00,13,153,28.643824724591255,0
2023-01-07 14:00:00,14,132,26.56964005859316,0
2023-01-07 15:00:00,15,142,31.311105428951986,0
2023-01-07 16:00:00,16,116,32.02688318969945,0
2023-01-07 17:00:00,17,121,27.856604537967723,0
2023-01-07 18:00:00,18,112,22.824502649292665,0
2023-01-07 19:00:00,19,79,22.340405724554806,1
2023-01-07 20:00:00,20,85,17.762953031576735,0
2023-01-07 21:00:00,21,69,18.697520536900686,0
2023-01-07 22:00:00,22,65,12.297419194603135,0
2023-01-07 23:00:00,23,71,12.328674614478128,0
2023-01-08 00:00:00,0,48,9.3310703095678,0
2023-01-08 01:00:00,1,45,10.594391107379241,0
2023-01-08 02:00:00,2,48,9.267316645724485,0
2023-01-08 03:00:00,3,57,10.694265943609844,0
2023-01-08 04:00:00,4,75,11.384447072088346,0
2023-01-08 05:00:00,5,91,10.955614132686303,0
2023-01-08 06:00:00,6,103,16.253754127058045,1
2023-01-08 07:00:00,7,122,17.314278245288563,0
2023-01-08 08:00:00,8,126,18.0229419842682,0
2023-01-08 09:00:00,9,150,27.07004356343679,0
2023-01-08 10:00:00,10,141,25.95286033343425,0
2023-01-08 11:00:00,11,176,26.764546705066866,0
2023-01-08 12:00:00,12,157,31.49066309124803,0
2023-01-08 13:00:00,13,140,33.342889481663896,0
2023-01-08 14:00:00,14,133,29.70930115537223,0
2023-01-08 15:00:00,15,141,30.354053235760205,0
2023-01-08 16:00:00,16,123,26.684248401838506,0
2023-01-08 17:00:00,17,121,26.776682310329452,1
2023-01-08 18:00:00,18,105,24.60187489248026,0
2023-01-08 19:00:00,19,87,22.957844518268516,0
2023-01-08 20:00:00,20,67,20.66552095727402,0
2023-01-08 21:00:00,21,50,18.531466446630912,0
2023-01-08 22:00:00,22,53,15.475285312599922,1
2023-01-08 23:00:00,23,61,10.5074469348762,0
2023-01-09 00:00:00,0,53,9.462811750673442,0
2023-01-09 01:00:00,1,40,9.247926498181972,1
2023-01-09 02:00:00,2,59,9.435518816153543,0
2023-01-09 03:00:00,3,69,12.442290318053544,0
2023-01-09 04:00:00,4,67,9.013867988449789,0
2023-01-09 05:00:00,5,89,12.214102091793125,0
2023-01-09 06:00:00,6,101,16.9060189964281,0
2023-01-09 07:00:00,7,102,16.81205459998157,0
2023-01-09 08:00:00,8,129,20.92083129968565,0
2023-01-09 09:00:00,9,142,22.3091063651694,0
2023-01-09 10:00:00,10,155,25.513566514649447,0
2023-01-09 11:00:00,11,159,26.614122724246393,0
2023-01-09 12:00:00,12,137,29.994384983301092,0
2023-01-09 13:00:00,13,140,26.569145448077812,0
2023-01-09 14:00:00,14,149,29.27337598322291,0
2023-01-09 15:00:00,15,141,30.2524036162793,0
2023-01-09 16:00:00,16,131,29.727644533856775,0
2023-01-09 17:00:00,17,152,30.05697305737313,0
2023-01-09 18:00:00,18,106,24.217950666268848,0
2023-01-09 19:00:00,19,99,25.547153974746955,0
2023-01-09 20:00:00,20,85,18.68195234668066,0
2023-01-09 21:00:00,21,72,20.06910237206408,0
2023-01-09 22:00:00,22,54,16.63493425339675,0
2023-01-09 23:00:00,23,60,11.102015028870083,0
2023-01-10 00:00:00,0,43,11.953824436659257,0
2023-01-10 01:00:00,1,50,10.238270066044935,0
2023-01-10 02:00:00,2,53,11.251169187350001,0
2023-01-10 03:00:00,3,66,9.894198560242698,0
2023-01-10 04:00:00,4,99,10.725253510832152,0
2023-01-10 05:00:00,5,69,15.667121353660228,0
2023-01-10 06:00:00,6,108,14.802558211088654,0
2023-01-10 07:00:00,7,98,19.064654197358326,1
2023-01-10 08:00:00,8,121,19.5492970299116,1
2023-01-10 09:00:00,9,147,25.92151696948025,0
2023-01-10 10:00:00,10,145,23.643330741329013,0
2023-01-10 11:00:00,11,138,25.842780749371105,0
2023-01-10 12:00:00,12,144,31.70928840007619,0
2023-01-10 13:00:00,13,156,28.769365481100177,0
2023-01-10 14:00:00,14,137,33.202148612328784,0
2023-01-10 15:00:00,15,138,31.442939422080308,0
2023-01-10 16:00:00,16,126,28.35095462472272,0
2023-01-10 17:00:00,17,107,23.44448086783116,0
2023-01-10 18:00:00,18,122,24.961363391456327,0
2023-01-10 19:00:00,19,94,22.79145055809206,0
2023-01-10 20:00:00,20,56,22.334435466608745,0
2023-01-10 21:00:00,21,67,20.588703901455013,0
2023-01-10 22:00:00,22,51,13.630025641712509,1
2023-01-10 23:00:00,23,61,14.531295716110893,0
2023-01-11 00:00:00,0,43,12.870550274182312,0
2023-01-11 01:00:00,1,51,12.487567141930207,0
2023-01-11 02:00:00,2,63,10.99737982427109,0
2023-01-11 03:00:00,3,74,6.455746355185777,0
2023-01-11 04:00:00,4,64,11.028901097100094,0
2023-01-11 05:00:00,5,85,10.617517038300694,0
2023-01-11 06:00:00,6,96,14.594788454163853,0
2023-01-11 07:00:00,7,107,19.371818021242582,0
2023-01-11 08:00:00,8,144,20.610301671749944,0
2023-01-11 09:00:00,9,140,24.88437218382007,0
2023-01-11 10:00:00,10,132,25.68350784142708,0
2023-01-11 11:00:00,11,158,24.47441593252767,0
2023-01-11 12:00:00,12,172,23.618560024698915,0
2023-01-11 13:00:00,13,160,29.95687578624986,0
2023-01-11 14:00:00,14,129,29.57214706729767,0
2023-01-11 15:00:00,15,131,27.705366784126916,0
2023-01-11 16:00:00,16,139,25.258999538541634,0
2023-01-11 17:00:00,17,107,25.601581384920056,0
2023-01-11 18:00:00,18,105,24.61101703027045,0
2023-01-11 19:00:00,19,96,23.91994609843799,0
2023-01-11 20:00:00,20,67,20.37726216313596,0
2023-01-11 21:00:00,21,65,20.627944043320248,0
2023-01-11 22:00:00,22,25,12.928791887909215,0
2023-01-11 23:00:00,23,42,14.691049972249395,0
2023-01-12 00:00:00,0,48,11.434343448413069,0
2023-01-12 01:00:00,1,40,11.730079985346487,0
2023-01-12 02:00:00,2,74,9.126970273468913,0
2023-01-12 03:00:00,3,51,12.484102484890496,0
2023-01-12 04:00:00,4,72,11.9301954788461,0
2023-01-12 05:00:00,5,89,11.570042218299026,0
2023-01-12 06:00:00,6,115,14.975951942173623,0
2023-01-12 07:00:00,7,100,16.932697831100594,0
2023-01-12 08:00:00,8,138,20.978356701275587,0
2023-01-12 09:00:00,9,137,20.22863695227619,0
2023-01-12 10:00:00,10,135,24.941296595768613,0
2023-01-12 11:00:00,11,154,27.86168231716414,0
2023-01-12 12:00:00,12,153,28.726300652230453,0
2023-01-12 13:00:00,13,143,32.353140751668676,0
2023-01-12 14:00:00,14,145,31.548045548142106,0
2023-01-12 15:00:00,15,133,29.644296669409187,0
2023-01-12 16:00:00,16,127,29.093632232839735,0
2023-01-12 17:00:00,17,121,27.662398914829474,0
2023-01-12 18:00:00,18,117,25.806599208333648,0
2023-01-12 19:00:00,19,76,18.936874459695993,0
2023-01-12 20:00:00,20,97,19.396947408461305,0
2023-01-12 21:00:00,21,46,14.442931412587939,0
2023-01-12 22:00:00,22,56,17.55656189491898,0
2023-01-12 23:00:00,23,59,12.807233148128672,0
2023-01-13 00:00:00,0,54,10.953064062796367,0
2023-01-13 01:00:00,1,47,12.134336401175787,0
2023-01-13 02:00:00,2,56,10.84464959489975,0
2023-01-13 03:00:00,3,61,8.083472708350904,0
2023-01-13 04:00:00,4,70,11.197935237100877,0
2023-01-13 05:00:00,5,97,12.258598241681755,0
2023-01-13 06:00:00,6,105,11.510934222787892,0
2023-01-13 07:00:00,7,107,16.031257082500385,0
2023-01-13 08:00:00,8,135,19.63291935596707,0
2023-01-13 09:00:00,9,140,22.35828858804152,1
2023-01-13 10:00:00,10,153,22.035537152645382,0
2023-01-13 11:00:00,11,156,29.374398977960425,0
2023-01-13 12:00:00,12,143,28.456047920061508,0
2023-01-13 13:00:00,13,144,29.734364416211807,0
2023-01-13 14:00:00,14,152,30.801283276679673,0
2023-01-13 15:00:00,15,143,28.083105755083338,0
2023-01-13 16:00:00,16,126,29.572965984109782,0
2023-01-13 17:00:00,17,115,26.33691851982911,0
2023-01-13 18:00:00,18,114,23.206828918705618,0
2023-01-13 19:00:00,19,82,23.735085437736007,0
2023-01-13 20:00:00,20,82,22.983347717603614,0
2023-01-13 21:00:00,21,64,18.861468295946455,0
2023-01-13 22:00:00,22,56,16.845955130280863,0
2023-01-13 23:00:00,23,64,11.88767097500993,0
2023-01-14 00:00:00,0,60,8.1445065038187,0
2023-01-14 01:00:00,1,61,13.321016781309,0
2023-01-14 02:00:00,2,71,14.10902977880952,0
2023-01-14 03:00:00,3,66,13.42635528464868,1
2023-01-14 04:00:00,4,83,10.668174084196115,0
2023-01-14 05:00:00,5,85,10.619663510676837,1
2023-01-14 06:00:00,6,105,12.868634604360867,0
2023-01-14 07:00:00,7,113,14.044344413746696,0
2023-01-14 08:00:00,8,127,19.78524276317991,0
2023-01-14 09:00:00,9,143,25.799546367190114,0
2023-01-14 10:00:00,10,136,24.716674736255513,0
2023-01-14 11:00:00,11,171,27.675713612562024,0
2023-01-14 12:00:00,12,141,31.4114479664528,0
2023-01-14 13:00:00,13,138,28.85106763922588,0
2023-01-14 14:00:00,14,156,34.07106291343919,0
2023-01-14 15:00:00,15,145,33.64344707788559,1
2023-01-14 16:00:00,16,133,28.398031360483422,0
2023-01-14 17:00:00,17,121,25.91599928382705,0
2023-01-14 18:00:00,18,101,26.394476092780625,0
2023-01-14 19:00:00,19,79,21.893140565987494,1
2023-01-14 20:00:00,20,77,17.68688956586533,0
2023-01-14 21:00:00,21,59,19.97428685602075,1
2023-01-14 22:00:00,22,68,17.432894774554164,0
2023-01-14 23:00:00,23,52,13.23995539566165,0
2023-01-15 00:00:00,0,43,8.814016454699257,0
2023-01-15 01:00:00,1,50,7.881689234674544,0
2023-01-15 02:00:00,2,62,10.214458576838306,0
2023-01-15 03:00:00,3,60,9.340999668099252,0
2023-01-15 04:00:00,4,68,10.657560097872398,0
2023-01-15 05:00:00,5,91,14.972858498254531,0
2023-01-15 06:00:00,6,104,16.466358634845115,0
2023-01-15 07:00:00,7,109,20.16809490997002,0
2023-01-15 08:00:00,8,122,18.018753553245485,0
2023-01-15 09:00:00,9,139,21.90180731365178,0
2023-01-15 10:00:00,10,130,26.517963390920226,0
2023-01-15 11:00:00,11,136,27.96722449389126,0
2023-01-15 12:00:00,12,144,31.72501480301963,0
2023-01-15 13:00:00,13,148,30.50033167469882,0
2023-01-15 14:00:00,14,148,33.69621820821111,0
2023-01-15 15:00:00,15,152,30.73929386633696,0
2023-01-15 16:00:00,16,135,30.78458893302171,0
2023-01-15 17:00:00,17,113,26.424037918296563,0
2023-01-15 18:00:00,18,101,25.028574423767978,0
2023-01-15 19:00:00,19,79,24.410079258704158,0
2023-01-15 20:00:00,20,76,23.22595634118611,0
2023-01-15 21:00:00,21,63,18.870283447596297,0
2023-01-15 22:00:00,22,61,14.833656456130765,1
2023-01-15 23:00:00,23,45,15.683602247191212,0
2023-01-16 00:00:00,0,57,6.955788649595851,0
2023-01-16 01:00:00,1,69,7.4962727340955695,0
2023-01-16 02:00:00,2,57,11.363268447336779,0
2023-01-16 03:00:00,3,70,10.368958449615567,0
2023-01-16 04:00:00,4,83,12.550773264403945,0
2023-01-16 05:00:00,5,85,13.057747232998409,0
2023-01-16 06:00:00,6,104,16.141891389207746,0
2023-01-16 07:00:00,7,115,15.783003906988412,0
2023-01-16 08:00:00,8,128,21.14097217215938,0
2023-01-16 09:00:00,9,129,24.577019507440376,0
2023-01-16 10:00:00,10,145,27.441101207862467,0
2023-01-16 11:00:00,11,155,31.098176401162874,0
2023-01-16 12:00:00,12,166,29.148450924849158,1
2023-01-16 13:00:00,13,160,30.207080436585038,0
2023-01-16 14:00:00,14,166,26.953655071652303,0
2023-01-16 15:00:00,15,129,28.596435460613833,0
2023-01-16 16:00:00,16,135,28.274089889831163,0
2023-01-16 17:00:00,17,116,29.171706916418184,0
2023-01-16 18:00:00,18,124,23.77799775182074,0
2023-01-16 19:00:00,19,81,24.180870490522874,0
2023-01-16 20:00:00,20,68,19.99675656607324,0
2023-01-16 21:00:00,21,60,17.057473318745267,0
2023-01-16 22:00:00,22,37,15.497787938266516,0
2023-01-16 23:00:00,23,48,12.146619443628843,0
2023-01-17 00:00:00,0,44,10.481671465970281,0
2023-01-17 01:00:00,1,55,6.931169925529089,0
2023-01-17 02:00:00,2,62,9.50409158534422,1
2023-01-17 03:00:00,3,85,9.380805444811864,0
2023-01-17 04:00:00,4,86,10.307783983457455,0
2023-01-17 05:00:00,5,83,13.762678313314606,0
2023-01-17 06:00:00,6,93,16.31726390558102,0
2023-01-17 07:00:00,7,120,17.87619855825945,0
2023-01-17 08:00:00,8,114,21.99083038089895,0
2023-01-17 09:00:00,9,155,23.739314302685937,0
2023-01-17 10:00:00,10,157,24.409887620388716,0
2023-01-17 11:00:00,11,145,26.145355240436714,0
2023-01-17 12:00:00,12,135,29.28589851137808,1
2023-01-17 13:00:00,13,164,30.806792482694483,0
2023-01-17 14:00:00,14,144,32.795688614062996,0
2023-01-17 15:00:00,15,150,32.041604352770875,0
2023-01-17 16:00:00,16,111,27.57730802483005,0
2023-01-17 17:00:00,17,109,26.867055251610953,0
2023-01-17 18:00:00,18,102,26.34203560983554,0
2023-01-17 19:00:00,19,89,24.724186007143153,0
2023-01-17 20:00:00,20,72,21.877938937409585,0
2023-01-17 21:00:00,21,73,17.284053883312097,0
2023-01-17 22:00:00,22,48,12.49195469514297,0
2023-01-17 23:00:00,23,52,10.931059435643345,0
2023-01-18 00:00:00,0,53,11.885012990794442,0
2023-01-18 01:00:00,1,59,11.025192895958009,0
2023-01-18 02:00:00,2,66,7.80264125313123,0
2023-01-18 03:00:00,3,55,10.42988095888786,0
2023-01-18 04:00:00,4,62,12.602194676099181,0
2023-01-18 05:00:00,5,102,10.626478873120236,0
2023-01-18 06:00:00,6,105,17.209994403608828,0
2023-01-18 07:00:00,7,107,16.656747251855144,0
2023-01-18 08:00:00,8,142,22.515226225153302,0
2023-01-18 09:00:00,9,138,21.521285559473405,1
2023-01-18 10:00:00,10,157,22.946749034231644,0
2023-01-18 11:00:00,11,151,26.154793832182037,0
2023-01-18 12:00:00,12,173,28.469957791689744,0
2023-01-18 13:00:00,13,168,28.88229844934772,0
2023-01-18 14:00:00,14,143,29.567997156853774,0
2023-01-18 15:00:00,15,147,30.327188562243062,0
2023-01-18 16:00:00,16,133,28.31789529825159,0
2023-01-18 17:00:00,17,129,26.93884302396146,0
2023-01-18 18:00:00,18,92,21.58154720159481,0
2023-01-18 19:00:00,19,96,23.371586483046155,0
2023-01-18 20:00:00,20,88,19.821593404616664,0
2023-01-18 21:00:00,21,49,20.632395509940533,1
2023-01-18 22:00:00,22,47,13.120869665492087,0
2023-01-18 23:00:00,23,33,9.312341531135498,0
2023-01-19 00:00:00,0,49,12.575882950015696,0
2023-01-19 01:00:00,1,61,11.033795773735317,0
2023-01-19 02:00:00,2,74,7.983133958937708,0
2023-01-19 03:00:00,3,67,7.281243827101134,0
2023-01-19 04:00:00,4,93,14.414539423524195,0
2023-01-19 05:00:00,5,75,15.757152969348088,0
2023-01-19 06:00:00,6,85,10.025086482587742,0
2023-01-19 07:00:00,7,114,16.49536349046179,0
2023-01-19 08:00:00,8,131,23.3283841095678,0
2023-01-19 09:00:00,9,137,21.63606533546947,0
2023-01-19 10:00:00,10,125,24.018775531946694,0
2023-01-19 11:00:00,11,149,26.50554915660674,0
2023-01-19 12:00:00,12,139,26.418460090308066,0
2023-01-19 13:00:00,13,157,26.249706774434593,0
2023-01-19 14:00:00,14,149,32.1050946214695,0
2023-01-19 15:00:00,15,128,25.97338445039533,0
2023-01-19 16:00:00,16,122,29.1547969420619,0
2023-01-19 17:00:00,17,104,28.844226797380774,0
2023-01-19 18:00:00,18,101,22.097547402197684,0
2023-01-19 19:00:00,19,99,20.739653645835066,0
2023-01-19 20:00:00,20,67,22.42635837678318,0
2023-01-19 21:00:00,21,72,18.47759298942887,0
2023-01-19 22:00:00,22,53,13.76542858624223,0
2023-01-19 23:00:00,23,46,15.33343019485687,0
2023-01-20 00:00:00,0,51,13.752817409064217,0
2023-01-20 01:00:00,1,43,10.878847123140732,0
2023-01-20 02:00:00,2,53,8.199679544252675,0
2023-01-20 03:00:00,3,55,9.513844330165727,0
2023-01-20 04:00:00,4,97,11.912519450066394,0
2023-01-20 05:00:00,5,90,12.551742529839547,0
2023-01-20 06:00:00,6,95,16.877914356469702,0
2023-01-20 07:00:00,7,117,14.352261388756123,0
2023-01-20 08:00:00,8,126,17.011472941867524,0
2023-01-20 09:00:00,9,135,22.94993267399007,0
2023-01-20 10:00:00,10,152,24.01691117238619,0
2023-01-20 11:00:00,11,158,25.816970582469995,0
2023-01-20 12:00:00,12,147,25.12414059949559,0
2023-01-20 13:00:00,13,145,29.698349952487046,0
2023-01-20 14:00:00,14,143,29.89448978399847,0
2023-01-20 15:00:00,15,115,30.966216226794163,0
2023-01-20 16:00:00,16,112,28.798066304086333,0
2023-01-20 17:00:00,17,129,26.80585965538448,0
2023-01-20 18:00:00,18,119,27.354001273580675,0
2023-01-20 19:00:00,19,87,19.96325584412811,0
2023-01-20 20:00:00,20,83,21.072778437695153,0
2023-01-20 21:00:00,21,70,14.069515219384094,0
2023-01-20 22:00:00,22,90,13.323276239998389,0
2023-01-20 23:00:00,23,65,10.503617922887901,0
2023-01-21 00:00:00,0,51,12.90363103305945,1
2023-01-21 01:00:00,1,44,10.20992126991853,0
2023-01-21 02:00:00,2,43,9.972993510814046,0
2023-01-21 03:00:00,3,69,8.127275761650415,1
2023-01-21 04:00:00,4,70,10.740358970289837,0
2023-01-21 05:00:00,5,75,11.402001581516302,0
2023-01-21 06:00:00,6,96,15.766910029708432,0
2023-01-21 07:00:00,7,104,15.429627278311568,0
2023-01-21 08:00:00,8,144,22.659588730410153,0
2023-01-21 09:00:00,9,146,19.237029551777017,0
2023-01-21 10:00:00,10,146,23.386960335086876,0
2023-01-21 11:00:00,11,165,30.42546883179767,0
2023-01-21 12:00:00,12,153,27.789976541920318,0
2023-01-21 13:00:00,13,142,27.029500934081856,0
2023-01-21 14:00:00,14,161,30.43814312507534,0
2023-01-21 15:00:00,15,143,28.708473778461595,0
2023-01-21 16:00:00,16,117,26.98851352660778,0
2023-01-21 17:00:00,17,113,24.879326190268042,0
2023-01-21 18:00:00,18,94,30.536747211251885,0
2023-01-21 19:00:00,19,76,22.085086650656937,0
2023-01-21 20:00:00,20,87,16.148865279334245,0
2023-01-21 21:00:00,21,86,20.39922906698586,0
2023-01-21 22:00:00,22,45,16.222141810221146,0
2023-01-21 23:00:00,23,60,11.395999326094952,0
2023-01-22 00:00:00,0,46,9.47350778478333,0
2023-01-22 01:00:00,1,49,11.687687329425778,0
2023-01-22 02:00:00,2,53,9.50616334502109,0
2023-01-22 03:00:00,3,58,6.488786100219114,0
2023-01-22 04:00:00,4,78,14.914225891364952,0
2023-01-22 05:00:00,5,81,12.060951263702611,0
2023-01-22 06:00:00,6,105,17.991143472964854,0
2023-01-22 07:00:00,7,115,19.968679464906224,0
2023-01-22 08:00:00,8,125,17.99798091103437,0
2023-01-22 09:00:00,9,129,24.654570179751502,1
2023-01-22 10:00:00,10,140,23.697114900272638,0
2023-01-22 11:00:00,11,158,23.33766663825759,0
2023-01-22 12:00:00,12,157,27.8110577058001,0
